date,time,de,le,pc,qd,fc,la,lo,cn,ff,jf,sp,su,ty
01-06-2020,630,DN2,0.04634,3763,+,1,46.539542499999996,26.9169725,0.97,31.5,1.33671,23.66,23.66,TR
01-06-2020,630,Strada Bucegi,0.08475,18042,+,1,46.539415000000005,26.916097500000003,0.96,40.4,3.14478,22.79,22.79,TR
01-06-2020,630,Strada Victor Babes,0.20342,18041,+,1,46.53913249999999,26.914116250000006,0.93,20.0,0.0,28.16,28.16,TR
01-06-2020,630,Strada Aeroportului,0.45421,18040,+,1,46.538462666666675,26.90939533333334,0.91,20.0,0.0,27.26,27.26,TR
01-06-2020,630,Strada Alexei Tolstoi,0.70002,14603,+,1,46.53936235294117,26.904839705882353,0.77,29.4,0.0,30.0,30.86,TR
01-06-2020,630,Strada Arcadie Septilici,2.06316,3762,+,1,46.552868124999996,26.890796374999997,0.83,54.4,0.0,56.79,56.79,TR
01-06-2020,630,Centura Bacau,1.57391,17937,+,1,46.5536990909091,26.87900151515152,0.83,66.3,1.88725,48.91,48.91,TR
01-06-2020,630,Strada Arcadie Septilici,1.60609,3762,-,1,46.554187500000005,26.880232500000005,0.73,71.4,1.26654,58.0,58.0,TR
01-06-2020,630,Strada Alexei Tolstoi,1.94268,14603,-,1,46.550512745098054,26.893473921568624,0.86,55.3,0.00277,55.28,55.28,TR
01-06-2020,630,Strada Aeroportului,0.70002,18040,-,1,46.53936235294117,26.90483970588235,0.79,22.9,0.0,33.42,33.42,TR
01-06-2020,630,Strada Victor Babes,0.45421,18041,-,1,46.538462666666675,26.90939533333334,0.81,29.1,0.06496,28.88,28.88,TR
01-06-2020,630,Strada Bucegi,0.20342,18042,-,1,46.539132499999994,26.91411625,0.86,30.0,0.52323,28.19,28.19,TR
01-06-2020,630,DN2,1.48876,3763,-,1,46.53904141304348,26.909444999999995,0.81,26.4,0.0,30.71,30.71,TR
01-06-2020,630,Bulevardul Unirii / DN2,0.03078,4002,+,1,46.57008249999999,26.91516083333333,0.94,36.0,2.92345,20.9,20.9,TR
01-06-2020,630,Strada Mioritei,0.40005,14416,+,2,46.571631470588244,26.914824705882353,0.9,37.1,3.41068,19.55,19.55,TR
01-06-2020,630,Strada Iosif Cocea,0.42361,15202,+,2,46.5752813888889,26.91566027777778,0.95,44.0,3.03243,25.66,25.66,TR
01-06-2020,630,Strada Primaverii,0.28445,15201,+,2,46.57833818181818,26.914629090909088,0.92,48.8,0.65908,45.1,45.1,TR
01-06-2020,630,Strada Aprodul Purice,0.41342,14415,+,2,46.58175595744684,26.913223617021274,0.93,49.2,1.192,42.46,42.46,TR
01-06-2020,630,Strada Austrului,1.07958,15200,+,2,46.58737674698793,26.912187710843387,0.86,45.2,0.0,45.2,54.33,TR
01-06-2020,630,Strada Frunzei,0.55878,15199,+,2,46.5952585,26.908666999999998,0.87,50.0,0.0,50.0,66.03,TR
01-06-2020,630,Strada Linistei,0.27288,15198,+,2,46.598175000000005,26.906587000000002,0.85,50.0,0.0,50.0,62.41,TR
01-06-2020,630,Strada Arinilor,0.5291,15197,+,2,46.601423181818184,26.90427227272728,0.76,50.0,0.0,50.0,54.91,TR
01-06-2020,630,Strada Lunca Bistritei,0.67786,14414,+,2,46.606616410256414,26.900507435897435,0.76,49.9,0.0,50.0,50.45,TR
01-06-2020,630,Lilieci,1.33166,14413,+,2,46.611982203389836,26.890923050847455,0.78,34.8,0.0,36.4,36.4,TR
01-06-2020,630,Centura Bacau,0.94837,17927,+,2,46.61861882352941,26.881863529411763,0.8,50.0,0.0,50.0,58.96,TR
01-06-2020,630,Lilieci,0.94837,14413,-,2,46.6186188235294,26.881863529411763,0.75,50.0,0.0,50.0,60.39,TR
01-06-2020,630,Strada Lunca Bistritei,1.41517,14414,-,2,46.61154720588237,26.891968235294126,0.8,37.2,0.0,37.8,37.8,TR
01-06-2020,630,Strada Arinilor,0.59435,15197,-,2,46.60599266666667,26.901013666666664,0.83,50.0,0.0,50.0,50.41,TR
01-06-2020,630,Strada Linistei,0.5291,15198,-,2,46.60142318181817,26.904272272727273,0.82,50.0,0.0,50.0,51.43,TR
01-06-2020,630,Strada Frunzei,0.38831,15199,-,2,46.597571249999994,26.90701750000001,0.79,50.0,0.0,50.0,57.73,TR
01-06-2020,630,Strada Austrului,0.44335,15200,-,2,46.59469857142857,26.90906642857143,0.8,50.0,0.0,50.0,57.68,TR
01-06-2020,630,Strada Aprodul Purice,1.12571,14415,-,2,46.58680562499999,26.912203541666674,0.82,42.9,0.0,43.89,43.89,TR
